datetime,y
8/5/2010,11.97
8/6/2010,12.8
8/9/2010,12.96
8/10/2010,13.05
8/11/2010,14.12
8/12/2010,13.85
8/13/2010,13.87
8/16/2010,14.54
8/17/2010,14.53
8/18/2010,14.15
8/19/2010,14.03
8/20/2010,13.64
8/23/2010,14.49
8/24/2010,14.61
8/25/2010,14.77
8/26/2010,14.67
8/27/2010,14.35
8/30/2010,15.12
8/31/2010,15.48
9/1/2010,15.08
9/2/2010,15.14
9/3/2010,15.36
9/6/2010,15.11
9/7/2010,15.04
9/8/2010,15.44
9/9/2010,15.05
9/10/2010,15.17
9/13/2010,16.1
9/14/2010,17.27
9/15/2010,16.9
9/16/2010,16.45
9/17/2010,16.78
9/20/2010,16.32
9/21/2010,15.79
9/27/2010,16.09
9/28/2010,15.63
9/29/2010,15.57
9/30/2010,15.8
10/8/2010,16.34
10/11/2010,17.01
10/12/2010,16.75
10/13/2010,17.25
10/14/2010,16.43
10/15/2010,16.58
10/18/2010,15.51
10/19/2010,15.86
10/20/2010,15.81
10/21/2010,16.05
10/22/2010,15.88
10/25/2010,17.02
10/26/2010,17.74
10/27/2010,16.9
10/28/2010,18.59
10/29/2010,18.87
11/1/2010,19.55
11/2/2010,19.18
11/3/2010,18.16
11/4/2010,19.98
11/5/2010,21.34
11/8/2010,21.35
11/9/2010,22.9
11/10/2010,22.43
11/11/2010,21.86
11/12/2010,20.31
11/15/2010,22.34
11/16/2010,21.19
11/17/2010,19.2
11/18/2010,20.62
11/19/2010,22.68
11/22/2010,23.02
11/23/2010,23.9
11/24/2010,23.98
11/25/2010,23.57
11/26/2010,23.32
11/29/2010,23.21
11/30/2010,22.1
12/1/2010,21.71
12/2/2010,21.6
12/3/2010,22.55
12/6/2010,21.77
12/7/2010,22.41
12/8/2010,22.47
12/9/2010,22.47
12/10/2010,22.29
12/13/2010,23.3
12/14/2010,23.14
12/15/2010,22.56
12/16/2010,22.36
12/17/2010,22.46
12/20/2010,21.94
12/21/2010,21.75
12/22/2010,22.52
12/23/2010,21.52
12/24/2010,21.29
12/27/2010,19.93
12/28/2010,18.66
12/29/2010,19.36
12/30/2010,19.05
12/31/2010,19.75
1/4/2011,20.03
1/5/2011,19.76
1/6/2011,19.34
1/7/2011,19.01
1/10/2011,18.25
1/11/2011,18.45
1/12/2011,18.67
1/13/2011,18.41
1/14/2011,17.65
1/17/2011,16.91
1/19/2011,18.6
1/20/2011,18.15
1/21/2011,18.44
1/24/2011,17.66
1/25/2011,17.15
1/26/2011,18.08
1/27/2011,18.6
1/28/2011,18.58
1/31/2011,18.98
2/1/2011,18.84
2/9/2011,18.23
2/10/2011,18.76
2/11/2011,19.81
2/14/2011,20.06
2/15/2011,20.3
2/16/2011,20.8
2/17/2011,21.17
2/18/2011,21.43
2/21/2011,23.14
2/22/2011,22.6
2/23/2011,22.25
2/24/2011,22.38
2/25/2011,22.05
2/28/2011,22.36
3/1/2011,22.5
3/2/2011,21.78
3/3/2011,20.89
3/4/2011,21.48
3/7/2011,21.93
3/8/2011,21.73
3/9/2011,21.63
3/10/2011,20.98
3/11/2011,20.98
3/14/2011,22.1
3/15/2011,22.73
3/16/2011,22.72
3/17/2011,22.41
3/18/2011,22.62
3/21/2011,21.67
3/22/2011,21.55
3/23/2011,21.67
3/24/2011,21.7
3/25/2011,21.5
3/28/2011,21.15
3/29/2011,20.85
3/30/2011,20.55
3/31/2011,20.6
4/1/2011,21.13
4/6/2011,20.66
4/8/2011,20.9
4/11/2011,20.31
4/12/2011,19.7
4/13/2011,19.78
4/14/2011,19.83
4/18/2011,19.48
4/19/2011,18.94
4/20/2011,19.12
4/21/2011,19.61
4/22/2011,19.3
4/25/2011,19.25
4/26/2011,19.29
4/27/2011,19.09
4/28/2011,18.24
4/29/2011,18.49
5/3/2011,18.72
5/4/2011,18.06
5/5/2011,18.24
5/6/2011,18.98
5/9/2011,19.33
5/10/2011,19.22
5/11/2011,18.99
5/12/2011,18.6
5/13/2011,18.73
5/16/2011,18.62
5/17/2011,18.45
5/18/2011,18.5
5/19/2011,18.21
5/20/2011,17.59
5/23/2011,16.59
5/24/2011,16.71
5/25/2011,16.09
5/26/2011,15.98
5/27/2011,15.97
5/30/2011,15.57
5/31/2011,15.98
6/1/2011,16.36
6/2/2011,15.99
6/3/2011,15.89
6/7/2011,15.73
6/8/2011,15.81
6/9/2011,15.21
6/10/2011,15.23
6/13/2011,14.78
6/14/2011,15.26
6/15/2011,14.95
6/16/2011,14.5
6/17/2011,14.08
6/20/2011,13.99
6/21/2011,14.21
6/22/2011,14.11
6/23/2011,15.52
6/24/2011,16.09
6/27/2011,16.39
6/28/2011,16.59
6/29/2011,16.39
6/30/2011,16.5
7/1/2011,16.75
7/4/2011,17.78
7/5/2011,17.77
7/6/2011,17.97
7/7/2011,17.89
7/8/2011,17.32
7/11/2011,17.27
7/12/2011,17.26
7/13/2011,18.08
7/14/2011,18
7/15/2011,17.97
7/18/2011,17.46
7/19/2011,17.45
7/20/2011,17.28
7/21/2011,17.39
7/22/2011,17.3
7/25/2011,16.23
7/26/2011,16.06
7/27/2011,16.47
7/28/2011,16.36
7/29/2011,16.12
8/1/2011,16.89
8/2/2011,16.97
8/3/2011,16.93
8/4/2011,16.98
8/5/2011,16.8
8/8/2011,15.55
8/9/2011,15.67
8/10/2011,15.93
8/11/2011,16.2
8/12/2011,16.2
8/15/2011,16.67
8/16/2011,16.47
8/17/2011,16.14
8/18/2011,16.02
8/19/2011,15.72
8/22/2011,15.45
8/23/2011,15.7
8/24/2011,15.62
8/25/2011,16.2
8/26/2011,16.13
8/29/2011,15.95
8/30/2011,15.87
8/31/2011,15.79
9/1/2011,15.81
9/2/2011,15.61
9/5/2011,15.01
9/6/2011,14.97
9/7/2011,15.29
9/8/2011,15.02
9/9/2011,14.95
9/13/2011,14.59
9/14/2011,14.73
9/15/2011,14.78
9/16/2011,14.85
9/19/2011,14.45
9/20/2011,14.52
9/21/2011,15.1
9/22/2011,14.5
9/23/2011,14.44
9/26/2011,14.23
9/27/2011,14.37
9/28/2011,14.3
9/29/2011,14.07
9/30/2011,14.14
10/10/2011,14.15
10/11/2011,14.19
10/12/2011,14.68
10/13/2011,14.7
10/14/2011,14.69
10/17/2011,14.59
10/18/2011,14.02
10/19/2011,13.91
10/20/2011,13.17
10/21/2011,11.85
10/24/2011,11.48
10/25/2011,11.98
10/26/2011,11.97
10/27/2011,11.94
10/28/2011,12.42
10/31/2011,12.39
11/1/2011,12.55
11/2/2011,12.59
11/3/2011,12.77
11/4/2011,12.91
11/7/2011,12.53
11/8/2011,12.32
11/9/2011,12.35
11/10/2011,12.14
11/11/2011,12.18
11/14/2011,12.49
11/15/2011,12.56
11/16/2011,12.23
11/17/2011,11.96
11/18/2011,11.23
11/21/2011,11.26
11/22/2011,11.23
11/23/2011,11.03
11/24/2011,10.93
11/25/2011,10.73
11/28/2011,10.75
11/29/2011,11.12
11/30/2011,10.42
12/1/2011,10.51
12/2/2011,10.14
